officialId,canonicalId,subject,grade,gradeName,domainCode,domain,strand,clusterCode,parentId,sourceItem,statement,isLeaf,instructionalStatus,active
K.RI.9,CCSS.ELA-LITERACY.RI.K.9,ela,K,Kindergarten,RI,Reading: Informational Text,Reading: Informational Text,,,9,"With prompting and support, identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures).",True,assessable,True
K.RL.1,CCSS.ELA-LITERACY.RL.K.1,ela,K,Kindergarten,RL,Reading: Literature,Reading: Literature,,,1,"With prompting and support, ask and answer questions about key details in a text.",True,assessable,True
K.RL.10,CCSS.ELA-LITERACY.RL.K.10,ela,K,Kindergarten,RL,Reading: Literature,Reading: Literature,,,10,Actively engage in group reading activities with purpose and understanding.,True,assessable,True
K.RL.2,CCSS.ELA-LITERACY.RL.K.2,ela,K,Kindergarten,RL,Reading: Literature,Reading: Literature,,,2,"With prompting and support, retell familiar stories, including key details.",True,assessable,True
K.RL.3,CCSS.ELA-LITERACY.RL.K.3,ela,K,Kindergarten,RL,Reading: Literature,Reading: Literature,,,3,"With prompting and support, identify characters, settings, and major events in a story.",True,assessable,True
K.RL.4,CCSS.ELA-LITERACY.RL.K.4,ela,K,Kindergarten,RL,Reading: Literature,Reading: Literature,,,4,Ask and answer questions about unknown words in a text.,True,assessable,True
K.RL.5,CCSS.ELA-LITERACY.RL.K.5,ela,K,Kindergarten,RL,Reading: Literature,Reading: Literature,,,5,"Recognize common types of texts (e.g. ,storybooks, poems).",True,assessable,True
K.RL.6,CCSS.ELA-LITERACY.RL.K.6,ela,K,Kindergarten,RL,Reading: Literature,Reading: Literature,,,6,"With prompting and support, name the author and illustrator of a story and define the role of each in telling the story.",True,assessable,True
K.RL.7,CCSS.ELA-LITERACY.RL.K.7,ela,K,Kindergarten,RL,Reading: Literature,Reading: Literature,,,7,"With prompting and support, describe the relationship between illustrations and the story in which they appear (e.g., what moment in a story an illustration depicts).",True,assessable,True
K.RL.8,CCSS.ELA-LITERACY.RL.K.8,ela,K,Kindergarten,RL,Reading: Literature,Reading: Literature,,,8,(Not applicable to literature),True,notApplicableAtGrade,False
K.RL.9,CCSS.ELA-LITERACY.RL.K.9,ela,K,Kindergarten,RL,Reading: Literature,Reading: Literature,,,9,"With prompting and support, compare and contrast the adventures and experiences of characters in familiar stories.",True,assessable,True
K.SL.1,CCSS.ELA-LITERACY.SL.K.1,ela,K,Kindergarten,SL,Speaking & Listening,Speaking & Listening,,,1,Participate in collaborative conversations with diverse partners about kindergarten topics and texts with peers and adults in small and larger groups.,False,broadStandard,True
K.SL.1.a,CCSS.ELA-LITERACY.SL.K.1.a,ela,K,Kindergarten,SL,Speaking & Listening,Speaking & Listening,,K.SL.1,1a,"Follow agreed-upon rules for discussions (e.g., listening to others and taking turns speaking about the topics and texts under discussion).",True,assessable,True
K.SL.1.b,CCSS.ELA-LITERACY.SL.K.1.b,ela,K,Kindergarten,SL,Speaking & Listening,Speaking & Listening,,K.SL.1,1b,Continue a conversation through multiple exchanges.,True,assessable,True
K.SL.2,CCSS.ELA-LITERACY.SL.K.2,ela,K,Kindergarten,SL,Speaking & Listening,Speaking & Listening,,,2,Confirm understanding of a text read aloud or information presented orally or through other media by asking and answering questions about key details and requesting clarification if something is not understood.,True,assessable,True
K.SL.3,CCSS.ELA-LITERACY.SL.K.3,ela,K,Kindergarten,SL,Speaking & Listening,Speaking & Listening,,,3,"Ask and answer questions in order to seek help, get information, or clarify something that is not understood.",True,assessable,True
K.SL.4,CCSS.ELA-LITERACY.SL.K.4,ela,K,Kindergarten,SL,Speaking & Listening,Speaking & Listening,,,4,"Describe familiar people, places, things, and events and, with prompting and support, provide additional detail.",True,assessable,True
K.SL.5,CCSS.ELA-LITERACY.SL.K.5,ela,K,Kindergarten,SL,Speaking & Listening,Speaking & Listening,,,5,Add drawings or other visual displays to descriptions as desired to provide additional detail.,True,assessable,True
K.SL.6,CCSS.ELA-LITERACY.SL.K.6,ela,K,Kindergarten,SL,Speaking & Listening,Speaking & Listening,,,6,"Speak audibly and express thoughts, feelings, and ideas clearly.",True,assessable,True
